,URL,Roaster Location_search,Roaster Latitude,Roaster Longitude
5093,https://www.coffeereview.com/review/kenya-embu/,"Lin Jen-Wei's Black Jar Coffee, Taichung, Taiwan, China",24.1356254,120.6890728
5094,https://www.coffeereview.com/review/kenya-endebess/,"Fulcrum Coffee Roasters, Seattle, Washington",47.561101,-122.337683
5095,https://www.coffeereview.com/review/kenya-estate-28-day-natural-microlot/,"Kafe Coffee Roastery, Zhubei, Taiwan",24.831532,121.002672
5096,https://www.coffeereview.com/review/kenya-euro-prep/,"Te Aro Roasted, Toronto, Ontario, Canada",43.6612286,-79.3383602
5097,https://www.coffeereview.com/review/kenya-fair-trade-kangocho/,"Terroir Coffee, Acton, Massachusetts",42.4850931,-71.43284
5098,https://www.coffeereview.com/review/kenya-fairview-estate/,"Cafe Grumpy, Brooklyn, New York",40.6652361,-73.9826702
5099,https://www.coffeereview.com/review/kenya-fancy-aa-karinga/,"Equator Estate Coffees & Teas, San Rafael, California",37.9735346,-122.5310874
5100,https://www.coffeereview.com/review/kenya-french-mission-oreti-estate/,"Thirty-Thirty Coffee Co., Peoria, Illinois",40.6967517,-89.59436319999999
5101,https://www.coffeereview.com/review/kenya-fsc-ab/,"Black Coffee In Black Jar, Taichung, Taiwan",24.1629765,120.6746104
5102,https://www.coffeereview.com/review/kenya-gaaki-central/,"Intelligentsia Coffee Roasters, Chicago, Illinois",41.888379,-87.636479
5103,https://www.coffeereview.com/review/kenya-gachatha-2/,"Temple Coffee Roasters, Sacramento, California",38.5781342,-121.4944209
5104,https://www.coffeereview.com/review/kenya-gachatha-3/,"Bargain Cafe, Taitung, Taiwan",22.768526,121.1412275
5105,https://www.coffeereview.com/review/kenya-gachatha-aa-top-2/,"Buon Caffe, Taipei, Taiwan",25.0055574,121.4902343
5106,https://www.coffeereview.com/review/kenya-gachatha-aa-top/,"Kakalove Cafe, Chia-Yi, Taiwan",23.4741204,120.4333647
5107,https://www.coffeereview.com/review/kenya-gachatha-aa/,"Klatch Coffee, Los Angeles, California",33.9421889,-118.3999144
5108,https://www.coffeereview.com/review/kenya-gachatha-ab/,"Sunny's Coffee, Tochigi, Japan",36.8831641,140.0441391
5109,https://www.coffeereview.com/review/kenya-gachatha-nyeri-aa/,"Red Rooster Coffee Roaster, Floyd, Virginia",36.9164429,-80.3093313
5110,https://www.coffeereview.com/review/kenya-gachatha-nyeri/,"Temple Coffee Roasters, Sacramento, California",38.5781342,-121.4944209
5111,https://www.coffeereview.com/review/kenya-gachatha/,"Lexington Coffee Roasters, Lexington, Virginia",37.785125,-79.44154999999999
5112,https://www.coffeereview.com/review/kenya-gachika/,"Utopian Coffee, Fort Wayne, Indiana",41.08129780000001,-85.141235
5113,https://www.coffeereview.com/review/kenya-gachombe/,"Lexington Coffee Roasters, Lexington, Virginia",37.785125,-79.44154999999999
5114,https://www.coffeereview.com/review/kenya-gakui-peaberry/,"Turnstile Coffee Roasters, Belmar, New Jersey",40.17497770000001,-74.032466
5115,https://www.coffeereview.com/review/kenya-gakundu-fcs-kamviu-wet-mill/,"Stereo Coffee Roasters, Toronto, Ontario, Canada",43.6691874,-79.4638873
5116,https://www.coffeereview.com/review/kenya-gakuyuini-aa/,"RamsHead Coffee Roasters, Bozeman, Montana",45.6702915,-111.135432
5117,https://www.coffeereview.com/review/kenya-gathaithi-aa/,"Cimarron Coffee Roasters, Montrose, Colorado",38.4759637,-107.8805575
5118,https://www.coffeereview.com/review/kenya-gathiruini/,"Vigilante Coffee, Washington, DC",38.952376,-76.94112899999999
5119,https://www.coffeereview.com/review/kenya-gathugu/,"Barrington Coffee Roasting Co., Lee, Massachusetts",42.28408810000001,-73.2572708
5120,https://www.coffeereview.com/review/kenya-gatirima-aa/,"Little Waves Coffee, Durham, North Carolina",35.9864851,-78.92738779999999
5121,https://www.coffeereview.com/review/kenya-gatomboya-2/,"Drink Coffee Do Stuff, Truckee, California",39.3271065,-120.1868698
5122,https://www.coffeereview.com/review/kenya-gatomboya-aa-2/,"Dragonfly Coffee Roasters, Boulder, Colorado",40.0189728,-105.2747406
5123,https://www.coffeereview.com/review/kenya-gatomboya-aa/,"Allegro Coffee Roasters, Boulder, Colorado",40.0189728,-105.2747406
5124,https://www.coffeereview.com/review/kenya-gatomboya-peaberry/,"Paradise Roasters, Ramsey, Minnesota",45.2611,-93.45
5125,https://www.coffeereview.com/review/kenya-gatomboya/,"Drink Coffee Do Stuff, Truckee, California",39.3271065,-120.1868698
5126,https://www.coffeereview.com/review/kenya-gatugi-ab/,"Black Coffee in Black Jar, Taichung, Taiwan",24.1629765,120.6746104
5127,https://www.coffeereview.com/review/kenya-gatundu-karinga-ab/,"Coffee Factorial, San Diego, California",32.715738,-117.1610838
5128,https://www.coffeereview.com/review/kenya-gaturiri-2/,"Drink Coffee Do Stuff, Truckee, California",39.3271065,-120.1868698
5129,https://www.coffeereview.com/review/kenya-gaturiri-aa-2/,"Color Coffee, Eagle, Colorado",39.6400695,-106.8319921
