URL,roast_lv_adj,Agtron_whole,Agtron_ground,Aroma,Acidity_combined,Body,Flavor,Aftertaste
https://www.coffeereview.com/review/belekatu-ethiopia-yirgacheffe/,2.0,56.0,78.0,10.0,9.0,8.0,9.0,8.0
https://www.coffeereview.com/review/bella-carmona-guatemala-2/,2.0,52.0,74.0,8.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/bella-carmona-guatemala-3/,2.0,56.0,74.0,9.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/bella-carmona-guatemala-4/,1.0,62.0,80.0,9.0,8.0,8.0,9.0,8.0
https://www.coffeereview.com/review/bella-carmona-guatemala-6/,2.0,58.0,76.0,9.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/bella-carmona-guatemala-7/,2.0,59.0,81.0,9.0,9.0,8.0,9.0,8.0
https://www.coffeereview.com/review/bella-carmona-guatemala/,2.0,56.0,78.0,9.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/belquis-ramirez-lemus-colombia-coffee-for-peace/,2.0,58.0,76.0,8.0,9.0,8.0,9.0,8.0
https://www.coffeereview.com/review/belt-line-blend/,2.0,53.0,70.0,9.0,8.0,8.0,9.0,7.0
https://www.coffeereview.com/review/bener-meriah-sumatra/,2.0,59.0,77.0,9.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/benti-nenqa-209-ethiopia/,2.0,60.0,78.0,9.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/benti-nenqa-ethiopia/,1.0,63.0,94.0,9.0,9.0,8.0,9.0,8.0
https://www.coffeereview.com/review/berg-wu-championship-selection-yirgacheffe-g1-natural-lot-19-01/,2.0,60.0,78.0,9.0,9.0,9.0,9.0,9.0
https://www.coffeereview.com/review/berg-wu-championship-sidamo-washed-g1-lot-20-02/,1.0,64.0,84.0,9.0,9.0,9.0,9.0,9.0
https://www.coffeereview.com/review/berlina-geisha/,2.0,56.0,84.0,9.0,9.0,9.0,10.0,9.0
https://www.coffeereview.com/review/best-of-panama-3-elida-estate/,3.0,50.0,68.0,8.0,8.0,8.0,8.0,8.0
